Empresa,Cadastro,Já operou?,Teve possibilidade de operar?,cadastro_periodo
Empresa 10524,202209,Não,Sim,2022-09
Empresa 10529,202204,Não,Sim,2022-04
Empresa 10534,202110,Não,Sim,2021-10
Empresa 10542,202302,Não,Sim,2023-02
Empresa 10590,202203,Não,Sim,2022-03
Empresa 10591,202204,Não,Sim,2022-04
Empresa 10596,202110,Não,Sim,2021-10
Empresa 10598,202011,Não,Sim,2020-11
Empresa 10599,202203,Não,Sim,2022-03
Empresa 10604,202104,Não,Sim,2021-04
Empresa 10610,202309,Não,Sim,2023-09
Empresa 10615,202006,Não,Sim,2020-06
Empresa 10617,202007,Não,Sim,2020-07
Empresa 10641,202105,Não,Sim,2021-05
Empresa 10671,202007,Não,Sim,2020-07
Empresa 10687,202009,Não,Sim,2020-09
Empresa 10712,201912,Não,Sim,2019-12
Empresa 10717,202007,Não,Sim,2020-07
Empresa 10759,202007,Não,Sim,2020-07
Empresa 10784,202103,Não,Sim,2021-03
Empresa 10799,202207,Não,Sim,2022-07
Empresa 10801,202112,Não,Sim,2021-12
Empresa 10804,202006,Não,Sim,2020-06
Empresa 10806,202204,Não,Sim,2022-04
Empresa 10808,202004,Não,Sim,2020-04
Empresa 10810,202107,Não,Sim,2021-07
Empresa 10822,202211,Não,Sim,2022-11
Empresa 10829,202101,Não,Sim,2021-01
Empresa 10831,202101,Não,Sim,2021-01
Empresa 10833,202206,Não,Sim,2022-06
Empresa 10848,202208,Não,Sim,2022-08
Empresa 10877,202205,Não,Sim,2022-05
Empresa 10899,202310,Não,Sim,2023-10
Empresa 10908,202204,Não,Sim,2022-04
Empresa 10924,202212,Não,Sim,2022-12
Empresa 10926,202308,Não,Sim,2023-08
Empresa 10930,202207,Não,Sim,2022-07
Empresa 10941,202106,Não,Sim,2021-06
Empresa 10960,202303,Não,Sim,2023-03
Empresa 1097,202311,Não,Sim,2023-11
Empresa 11011,202305,Não,Sim,2023-05
Empresa 11025,202202,Não,Sim,2022-02
Empresa 11043,202103,Não,Sim,2021-03
Empresa 11048,202210,Não,Sim,2022-10
Empresa 11051,202201,Não,Sim,2022-01
Empresa 11080,202208,Não,Sim,2022-08
Empresa 11096,202103,Não,Sim,2021-03
Empresa 11100,202002,Não,Sim,2020-02
Empresa 11106,202103,Não,Sim,2021-03
Empresa 11132,202208,Não,Sim,2022-08
Empresa 1121,202306,Não,Sim,2023-06
Empresa 11220,202305,Não,Sim,2023-05
Empresa 11238,202101,Não,Sim,2021-01
Empresa 11240,202108,Não,Sim,2021-08
Empresa 11278,202012,Não,Sim,2020-12
Empresa 11291,202303,Não,Sim,2023-03
Empresa 11292,202203,Não,Sim,2022-03
Empresa 11302,202006,Não,Sim,2020-06
Empresa 11303,202108,Não,Sim,2021-08
Empresa 11304,202101,Não,Sim,2021-01
Empresa 11309,202103,Não,Sim,2021-03
Empresa 11313,201912,Não,Sim,2019-12
Empresa 11321,202008,Não,Sim,2020-08
Empresa 11325,202008,Não,Sim,2020-08
Empresa 11358,202012,Não,Sim,2020-12
Empresa 11362,202106,Não,Sim,2021-06
Empresa 11367,202007,Não,Sim,2020-07
Empresa 11377,202006,Não,Sim,2020-06
Empresa 11380,202202,Não,Sim,2022-02
Empresa 11387,202105,Não,Sim,2021-05
Empresa 11399,202207,Não,Sim,2022-07
Empresa 11411,202111,Não,Sim,2021-11
Empresa 11421,201911,Não,Sim,2019-11
Empresa 11430,202007,Não,Sim,2020-07
Empresa 11434,202101,Não,Sim,2021-01
Empresa 11456,202007,Não,Sim,2020-07
Empresa 11466,202010,Não,Sim,2020-10
Empresa 11474,202105,Não,Sim,2021-05
Empresa 11490,202008,Não,Sim,2020-08
Empresa 11502,202007,Não,Sim,2020-07
Empresa 11512,202005,Não,Sim,2020-05
Empresa 11513,202209,Não,Sim,2022-09
Empresa 11532,202008,Não,Sim,2020-08
Empresa 11534,202205,Não,Sim,2022-05
Empresa 11544,202104,Não,Sim,2021-04
Empresa 1155,202310,Não,Sim,2023-10
Empresa 11575,202305,Não,Sim,2023-05
Empresa 11593,202204,Não,Sim,2022-04
Empresa 11608,202008,Não,Sim,2020-08
Empresa 11611,202011,Não,Sim,2020-11
Empresa 11626,201905,Não,Sim,2019-05
Empresa 11648,202007,Não,Sim,2020-07
Empresa 11662,202102,Não,Sim,2021-02
Empresa 11668,202205,Não,Sim,2022-05
Empresa 11672,202112,Não,Sim,2021-12
Empresa 11689,202210,Não,Sim,2022-10
Empresa 11713,202211,Não,Sim,2022-11
Empresa 11715,202212,Não,Sim,2022-12
Empresa 11726,202007,Não,Sim,2020-07
Empresa 11746,202107,Não,Sim,2021-07
Empresa 11771,202304,Não,Sim,2023-04
Empresa 11772,202311,Não,Sim,2023-11
Empresa 11784,202205,Não,Sim,2022-05
Empresa 11790,202012,Não,Sim,2020-12
Empresa 11812,202301,Não,Sim,2023-01
Empresa 11836,202007,Não,Sim,2020-07
Empresa 11838,202106,Não,Sim,2021-06
Empresa 11845,202208,Não,Sim,2022-08
Empresa 11849,202211,Não,Sim,2022-11
Empresa 11852,202212,Não,Sim,2022-12
Empresa 11860,202008,Não,Sim,2020-08
Empresa 11888,202207,Não,Sim,2022-07
Empresa 11897,202012,Não,Sim,2020-12
Empresa 11904,202308,Não,Sim,2023-08
Empresa 11912,202310,Não,Sim,2023-10
Empresa 11913,202206,Não,Sim,2022-06
Empresa 11916,202008,Não,Sim,2020-08
Empresa 11962,202203,Não,Sim,2022-03
Empresa 12024,202311,Não,Sim,2023-11
Empresa 12026,202006,Não,Sim,2020-06
Empresa 12048,202201,Não,Sim,2022-01
Empresa 12058,202105,Não,Sim,2021-05
Empresa 12068,202102,Não,Sim,2021-02
Empresa 12077,202305,Não,Sim,2023-05
Empresa 12079,202209,Não,Sim,2022-09
Empresa 12095,202009,Não,Sim,2020-09
Empresa 12110,202212,Não,Sim,2022-12
Empresa 12119,202112,Não,Sim,2021-12
Empresa 12122,202205,Não,Sim,2022-05
Empresa 12123,202008,Não,Sim,2020-08
Empresa 12126,202006,Não,Sim,2020-06
Empresa 12127,202105,Não,Sim,2021-05
Empresa 12130,202303,Não,Sim,2023-03
Empresa 12133,202301,Não,Sim,2023-01
Empresa 12144,202301,Não,Sim,2023-01
Empresa 12172,202103,Não,Sim,2021-03
Empresa 12196,202101,Não,Sim,2021-01
Empresa 12220,202007,Não,Sim,2020-07
Empresa 12231,202209,Não,Sim,2022-09
Empresa 12244,202103,Não,Sim,2021-03
Empresa 12248,202205,Não,Sim,2022-05
Empresa 12256,202012,Não,Sim,2020-12
Empresa 12271,201908,Não,Sim,2019-08
Empresa 12280,202303,Não,Sim,2023-03
Empresa 12292,202206,Não,Sim,2022-06
Empresa 12296,202007,Não,Sim,2020-07
Empresa 12300,202007,Não,Sim,2020-07
Empresa 12342,202310,Não,Sim,2023-10
Empresa 12346,202206,Não,Sim,2022-06
Empresa 12349,202007,Não,Sim,2020-07
Empresa 12366,202205,Não,Sim,2022-05
Empresa 12387,202111,Não,Sim,2021-11
Empresa 12412,202101,Não,Sim,2021-01
Empresa 12454,202007,Não,Sim,2020-07
Empresa 12458,202205,Não,Sim,2022-05
Empresa 12460,202006,Não,Sim,2020-06
Empresa 12462,202007,Não,Sim,2020-07
Empresa 12468,202012,Não,Sim,2020-12
Empresa 12480,202007,Não,Sim,2020-07
Empresa 12503,202008,Não,Sim,2020-08
Empresa 12525,202112,Não,Sim,2021-12
Empresa 12535,202101,Não,Sim,2021-01
Empresa 12561,202212,Não,Sim,2022-12
Empresa 12564,202012,Não,Sim,2020-12
Empresa 12572,202301,Não,Sim,2023-01
Empresa 12576,202212,Não,Sim,2022-12
Empresa 12589,202007,Não,Sim,2020-07
Empresa 12638,202103,Não,Sim,2021-03
Empresa 12641,202009,Não,Sim,2020-09
Empresa 12642,202102,Não,Sim,2021-02
Empresa 12644,202201,Não,Sim,2022-01
Empresa 12645,202105,Não,Sim,2021-05
Empresa 12666,202304,Não,Sim,2023-04
Empresa 12668,202204,Não,Sim,2022-04
Empresa 12681,202305,Não,Sim,2023-05
Empresa 12687,202008,Não,Sim,2020-08
Empresa 12697,202211,Não,Sim,2022-11
Empresa 12739,202007,Não,Sim,2020-07
Empresa 12746,202006,Não,Sim,2020-06
Empresa 12750,202008,Não,Sim,2020-08
Empresa 12762,202305,Não,Sim,2023-05
Empresa 12766,202107,Não,Sim,2021-07
Empresa 12782,202012,Não,Sim,2020-12
Empresa 12785,202107,Não,Sim,2021-07
Empresa 12804,202004,Não,Sim,2020-04
Empresa 12822,202310,Não,Sim,2023-10
Empresa 12827,202203,Não,Sim,2022-03
Empresa 12832,202011,Não,Sim,2020-11
Empresa 12843,202002,Não,Sim,2020-02
Empresa 12849,202101,Não,Sim,2021-01
Empresa 12871,202108,Não,Sim,2021-08
Empresa 12874,202212,Não,Sim,2022-12
Empresa 12888,202008,Não,Sim,2020-08
Empresa 12894,202208,Não,Sim,2022-08
Empresa 12901,202208,Não,Sim,2022-08
Empresa 12905,202104,Não,Sim,2021-04
Empresa 12935,202211,Não,Sim,2022-11
Empresa 12941,202008,Não,Sim,2020-08
Empresa 12945,202008,Não,Sim,2020-08
Empresa 12951,202209,Não,Sim,2022-09
Empresa 12959,202310,Não,Sim,2023-10
Empresa 12968,202004,Não,Sim,2020-04
Empresa 13000,202112,Não,Sim,2021-12
Empresa 13004,202212,Não,Sim,2022-12
Empresa 13012,202210,Não,Sim,2022-10
Empresa 13021,202307,Não,Sim,2023-07
Empresa 13060,202107,Não,Sim,2021-07
Empresa 13066,202101,Não,Sim,2021-01
Empresa 13067,202207,Não,Sim,2022-07
Empresa 13073,202105,Não,Sim,2021-05
Empresa 13077,201912,Não,Sim,2019-12
Empresa 13083,202205,Não,Sim,2022-05
Empresa 13100,202104,Não,Sim,2021-04
Empresa 13117,202108,Não,Sim,2021-08
Empresa 13127,202304,Não,Sim,2023-04
Empresa 13136,202103,Não,Sim,2021-03
Empresa 13139,202110,Não,Sim,2021-10
Empresa 13144,202212,Não,Sim,2022-12
Empresa 13146,202304,Não,Sim,2023-04
Empresa 13155,202301,Não,Sim,2023-01
Empresa 13179,202012,Não,Sim,2020-12
Empresa 13211,202202,Não,Sim,2022-02
Empresa 13220,202102,Não,Sim,2021-02
Empresa 13230,202306,Não,Sim,2023-06
Empresa 13271,202008,Não,Sim,2020-08
Empresa 13299,202302,Não,Sim,2023-02
Empresa 13307,202106,Não,Sim,2021-06
Empresa 13315,202209,Não,Sim,2022-09
Empresa 13347,202007,Não,Sim,2020-07
Empresa 13349,202204,Não,Sim,2022-04
Empresa 13350,202012,Não,Sim,2020-12
Empresa 13354,202006,Não,Sim,2020-06
Empresa 13356,202008,Não,Sim,2020-08
Empresa 13359,202007,Não,Sim,2020-07
Empresa 13415,202007,Não,Sim,2020-07
Empresa 13416,202303,Não,Sim,2023-03
Empresa 13418,202006,Não,Sim,2020-06
Empresa 13432,202103,Não,Sim,2021-03
Empresa 13445,202304,Não,Sim,2023-04
Empresa 13449,202212,Não,Sim,2022-12
Empresa 13452,202308,Não,Sim,2023-08
Empresa 13464,202203,Não,Sim,2022-03
Empresa 13474,202305,Não,Sim,2023-05
Empresa 13476,202304,Não,Sim,2023-04
Empresa 13489,202207,Não,Sim,2022-07
Empresa 13493,202107,Não,Sim,2021-07
Empresa 13495,202209,Não,Sim,2022-09
Empresa 13502,202112,Não,Sim,2021-12
Empresa 13510,202212,Não,Sim,2022-12
Empresa 13511,202007,Não,Sim,2020-07
Empresa 13515,201912,Não,Sim,2019-12
Empresa 13521,202302,Não,Sim,2023-02
Empresa 13533,202208,Não,Sim,2022-08
Empresa 13572,202211,Não,Sim,2022-11
Empresa 13579,202203,Não,Sim,2022-03
Empresa 13592,202308,Não,Sim,2023-08
Empresa 13595,202204,Não,Sim,2022-04
Empresa 13604,202303,Não,Sim,2023-03
Empresa 13607,202305,Não,Sim,2023-05
Empresa 13620,202211,Não,Sim,2022-11
Empresa 13621,202107,Não,Sim,2021-07
Empresa 13638,202210,Não,Sim,2022-10
Empresa 13655,202109,Não,Sim,2021-09
Empresa 13663,202301,Não,Sim,2023-01
Empresa 13672,202103,Não,Sim,2021-03
Empresa 13685,202008,Não,Sim,2020-08
Empresa 13686,202008,Não,Sim,2020-08
Empresa 13696,202205,Não,Sim,2022-05
Empresa 13700,202301,Não,Sim,2023-01
Empresa 13729,202102,Não,Sim,2021-02
Empresa 13736,202112,Não,Sim,2021-12
Empresa 13755,202009,Não,Sim,2020-09
Empresa 13774,202107,Não,Sim,2021-07
Empresa 13832,202107,Não,Sim,2021-07
Empresa 13839,202101,Não,Sim,2021-01
Empresa 13840,202211,Não,Sim,2022-11
Empresa 13879,202307,Não,Sim,2023-07
Empresa 13885,202011,Não,Sim,2020-11
Empresa 13907,202303,Não,Sim,2023-03
Empresa 13938,202103,Não,Sim,2021-03
Empresa 1394,202311,Não,Sim,2023-11
Empresa 13941,202307,Não,Sim,2023-07
Empresa 13978,202302,Não,Sim,2023-02
Empresa 13987,202012,Não,Sim,2020-12
Empresa 13997,202106,Não,Sim,2021-06
Empresa 13999,202301,Não,Sim,2023-01
Empresa 14005,202007,Não,Sim,2020-07
Empresa 14014,202212,Não,Sim,2022-12
Empresa 14016,202208,Não,Sim,2022-08
Empresa 14022,202101,Não,Sim,2021-01
Empresa 14046,202110,Não,Sim,2021-10
Empresa 14069,202212,Não,Sim,2022-12
Empresa 14081,202012,Não,Sim,2020-12
Empresa 14085,202007,Não,Sim,2020-07
Empresa 14090,202007,Não,Sim,2020-07
Empresa 14094,202309,Não,Sim,2023-09
Empresa 14104,202007,Não,Sim,2020-07
Empresa 14132,202303,Não,Sim,2023-03
Empresa 14145,202304,Não,Sim,2023-04
Empresa 14169,202012,Não,Sim,2020-12
Empresa 14170,202007,Não,Sim,2020-07
Empresa 14189,202210,Não,Sim,2022-10
Empresa 14203,202308,Não,Sim,2023-08
Empresa 14207,202105,Não,Sim,2021-05
Empresa 14209,202006,Não,Sim,2020-06
Empresa 14210,202102,Não,Sim,2021-02
Empresa 14225,202102,Não,Sim,2021-02
Empresa 14255,202112,Não,Sim,2021-12
Empresa 14274,202212,Não,Sim,2022-12
Empresa 14275,202302,Não,Sim,2023-02
Empresa 14276,202108,Não,Sim,2021-08
Empresa 14281,202011,Não,Sim,2020-11
Empresa 14288,202101,Não,Sim,2021-01
Empresa 14297,202012,Não,Sim,2020-12
Empresa 14316,202212,Não,Sim,2022-12
Empresa 14332,202007,Não,Sim,2020-07
Empresa 14341,202207,Não,Sim,2022-07
Empresa 14344,202009,Não,Sim,2020-09
Empresa 14353,202205,Não,Sim,2022-05
Empresa 14385,202108,Não,Sim,2021-08
Empresa 14391,202301,Não,Sim,2023-01
Empresa 14393,202107,Não,Sim,2021-07
Empresa 14396,202112,Não,Sim,2021-12
Empresa 14421,202302,Não,Sim,2023-02
Empresa 14434,202104,Não,Sim,2021-04
Empresa 14440,202001,Não,Sim,2020-01
Empresa 14448,202205,Não,Sim,2022-05
Empresa 14457,202111,Não,Sim,2021-11
Empresa 14485,202305,Não,Sim,2023-05
Empresa 14492,202012,Não,Sim,2020-12
Empresa 14516,202007,Não,Sim,2020-07
Empresa 14517,202004,Não,Sim,2020-04
Empresa 14549,202301,Não,Sim,2023-01
Empresa 14551,202303,Não,Sim,2023-03
Empresa 14570,202310,Não,Sim,2023-10
Empresa 14576,202303,Não,Sim,2023-03
Empresa 14586,202007,Não,Sim,2020-07
Empresa 14589,202007,Não,Sim,2020-07
Empresa 14596,202109,Não,Sim,2021-09
Empresa 14631,202006,Não,Sim,2020-06
Empresa 14639,202212,Não,Sim,2022-12
Empresa 14649,202007,Não,Sim,2020-07
Empresa 14658,202306,Não,Sim,2023-06
Empresa 14685,202012,Não,Sim,2020-12
Empresa 14695,202212,Não,Sim,2022-12
Empresa 14696,202302,Não,Sim,2023-02
Empresa 14705,202206,Não,Sim,2022-06
Empresa 14707,202303,Não,Sim,2023-03
Empresa 1471,202307,Não,Sim,2023-07
Empresa 14726,202205,Não,Sim,2022-05
Empresa 14731,202204,Não,Sim,2022-04
Empresa 14734,202303,Não,Sim,2023-03
Empresa 14746,202301,Não,Sim,2023-01
Empresa 14753,202007,Não,Sim,2020-07
Empresa 14756,202012,Não,Sim,2020-12
Empresa 14757,202305,Não,Sim,2023-05
Empresa 14758,202006,Não,Sim,2020-06
Empresa 14765,202309,Não,Sim,2023-09
Empresa 14786,202210,Não,Sim,2022-10
Empresa 14792,202012,Não,Sim,2020-12
Empresa 14816,202008,Não,Sim,2020-08
Empresa 14821,202305,Não,Sim,2023-05
Empresa 14822,202101,Não,Sim,2021-01
Empresa 14847,202007,Não,Sim,2020-07
Empresa 14861,202101,Não,Sim,2021-01
Empresa 14873,202304,Não,Sim,2023-04
Empresa 14880,202204,Não,Sim,2022-04
Empresa 14914,202011,Não,Sim,2020-11
Empresa 14925,202305,Não,Sim,2023-05
Empresa 14931,202309,Não,Sim,2023-09
Empresa 14941,202205,Não,Sim,2022-05
Empresa 14997,202211,Não,Sim,2022-11
Empresa 15014,202012,Não,Sim,2020-12
Empresa 15017,202103,Não,Sim,2021-03
Empresa 15027,202203,Não,Sim,2022-03
Empresa 15030,202204,Não,Sim,2022-04
Empresa 15035,202007,Não,Sim,2020-07
Empresa 15037,202007,Não,Sim,2020-07
Empresa 15041,202107,Não,Sim,2021-07
Empresa 15075,202208,Não,Sim,2022-08
Empresa 15089,202306,Não,Sim,2023-06
Empresa 15090,202304,Não,Sim,2023-04
Empresa 15093,202011,Não,Sim,2020-11
Empresa 15104,202102,Não,Sim,2021-02
Empresa 15141,202205,Não,Sim,2022-05
Empresa 15143,202011,Não,Sim,2020-11
Empresa 15149,202004,Não,Sim,2020-04
Empresa 15171,202101,Não,Sim,2021-01
Empresa 15192,202305,Não,Sim,2023-05
Empresa 15195,202301,Não,Sim,2023-01
Empresa 15199,202007,Não,Sim,2020-07
Empresa 15205,202102,Não,Sim,2021-02
Empresa 15221,202011,Não,Sim,2020-11
Empresa 15226,202102,Não,Sim,2021-02
Empresa 15249,202006,Não,Sim,2020-06
Empresa 15251,202305,Não,Sim,2023-05
Empresa 15260,202304,Não,Sim,2023-04
Empresa 15261,202203,Não,Sim,2022-03
Empresa 15271,202303,Não,Sim,2023-03
Empresa 15277,202012,Não,Sim,2020-12
Empresa 15279,202007,Não,Sim,2020-07
Empresa 15282,202307,Não,Sim,2023-07
Empresa 15294,202107,Não,Sim,2021-07
Empresa 15303,202112,Não,Sim,2021-12
Empresa 15312,202006,Não,Sim,2020-06
Empresa 15322,202108,Não,Sim,2021-08
Empresa 15325,202002,Não,Sim,2020-02
Empresa 15329,202308,Não,Sim,2023-08
Empresa 15339,202205,Não,Sim,2022-05
Empresa 15353,202301,Não,Sim,2023-01
Empresa 15362,202304,Não,Sim,2023-04
Empresa 15364,202304,Não,Sim,2023-04
Empresa 15383,202012,Não,Sim,2020-12
Empresa 15393,202301,Não,Sim,2023-01
Empresa 15435,202205,Não,Sim,2022-05
Empresa 15436,202303,Não,Sim,2023-03
Empresa 15450,202007,Não,Sim,2020-07
Empresa 15492,202205,Não,Sim,2022-05
Empresa 15505,202206,Não,Sim,2022-06
Empresa 15516,202208,Não,Sim,2022-08
Empresa 15527,202306,Não,Sim,2023-06
Empresa 15555,202012,Não,Sim,2020-12
Empresa 15564,202211,Não,Sim,2022-11
Empresa 15568,202212,Não,Sim,2022-12
Empresa 15571,202308,Não,Sim,2023-08
Empresa 15572,202207,Não,Sim,2022-07
Empresa 15573,202104,Não,Sim,2021-04
Empresa 15576,202107,Não,Sim,2021-07
Empresa 15592,202211,Não,Sim,2022-11
Empresa 15597,202201,Não,Sim,2022-01
Empresa 15612,202207,Não,Sim,2022-07
Empresa 15657,202107,Não,Sim,2021-07
Empresa 15665,202006,Não,Sim,2020-06
Empresa 15666,202301,Não,Sim,2023-01
Empresa 15675,202007,Não,Sim,2020-07
Empresa 15677,202103,Não,Sim,2021-03
Empresa 15679,202007,Não,Sim,2020-07
Empresa 15680,202310,Não,Sim,2023-10
Empresa 15682,202104,Não,Sim,2021-04
Empresa 15697,202205,Não,Sim,2022-05
Empresa 15715,202304,Não,Sim,2023-04
Empresa 15735,202001,Não,Sim,2020-01
Empresa 15744,202007,Não,Sim,2020-07
Empresa 15757,202007,Não,Sim,2020-07
Empresa 15770,202107,Não,Sim,2021-07
Empresa 15772,202101,Não,Sim,2021-01
Empresa 15789,202104,Não,Sim,2021-04
Empresa 15793,202303,Não,Sim,2023-03
Empresa 15798,202208,Não,Sim,2022-08
Empresa 15821,202207,Não,Sim,2022-07
Empresa 15840,202103,Não,Sim,2021-03
Empresa 15854,202303,Não,Sim,2023-03
Empresa 15859,202112,Não,Sim,2021-12
Empresa 15911,202201,Não,Sim,2022-01
Empresa 15931,202008,Não,Sim,2020-08
Empresa 15939,202102,Não,Sim,2021-02
Empresa 15961,202007,Não,Sim,2020-07
Empresa 15968,202101,Não,Sim,2021-01
Empresa 15986,202202,Não,Sim,2022-02
Empresa 16003,202205,Não,Sim,2022-05
Empresa 16013,202301,Não,Sim,2023-01
Empresa 16042,202007,Não,Sim,2020-07
Empresa 16058,202110,Não,Sim,2021-10
Empresa 16067,202308,Não,Sim,2023-08
Empresa 16077,202212,Não,Sim,2022-12
Empresa 16080,202309,Não,Sim,2023-09
Empresa 16083,202205,Não,Sim,2022-05
Empresa 16084,202112,Não,Sim,2021-12
Empresa 16086,202012,Não,Sim,2020-12
Empresa 16090,202105,Não,Sim,2021-05
Empresa 16119,202012,Não,Sim,2020-12
Empresa 16122,202009,Não,Sim,2020-09
Empresa 16128,202008,Não,Sim,2020-08
Empresa 16134,202111,Não,Sim,2021-11
Empresa 16141,202009,Não,Sim,2020-09
Empresa 16151,202208,Não,Sim,2022-08
Empresa 16168,202012,Não,Sim,2020-12
Empresa 16171,202212,Não,Sim,2022-12
Empresa 16183,202205,Não,Sim,2022-05
Empresa 16195,202205,Não,Sim,2022-05
Empresa 16214,202112,Não,Sim,2021-12
Empresa 16234,202208,Não,Sim,2022-08
Empresa 16251,202303,Não,Sim,2023-03
Empresa 16294,202202,Não,Sim,2022-02
Empresa 16302,202102,Não,Sim,2021-02
Empresa 16310,202103,Não,Sim,2021-03
Empresa 16311,202212,Não,Sim,2022-12
Empresa 16314,202004,Não,Sim,2020-04
Empresa 16323,202207,Não,Sim,2022-07
Empresa 16324,202109,Não,Sim,2021-09
Empresa 16343,202102,Não,Sim,2021-02
Empresa 16348,202108,Não,Sim,2021-08
Empresa 16351,202207,Não,Sim,2022-07
Empresa 16352,202003,Não,Sim,2020-03
Empresa 16366,202012,Não,Sim,2020-12
Empresa 16368,202101,Não,Sim,2021-01
Empresa 16372,202007,Não,Sim,2020-07
Empresa 16413,202212,Não,Sim,2022-12
Empresa 16416,202101,Não,Sim,2021-01
Empresa 16425,202005,Não,Sim,2020-05
Empresa 16445,202304,Não,Sim,2023-04
Empresa 16462,202106,Não,Sim,2021-06
Empresa 16465,202209,Não,Sim,2022-09
Empresa 16494,202104,Não,Sim,2021-04
Empresa 16521,202101,Não,Sim,2021-01
Empresa 16527,202105,Não,Sim,2021-05
Empresa 16537,201912,Não,Sim,2019-12
Empresa 16543,202205,Não,Sim,2022-05
Empresa 16550,202310,Não,Sim,2023-10
Empresa 16585,202311,Não,Sim,2023-11
Empresa 16589,202304,Não,Sim,2023-04
Empresa 16596,202008,Não,Sim,2020-08
Empresa 16627,202101,Não,Sim,2021-01
Empresa 16640,202007,Não,Sim,2020-07
Empresa 16652,202108,Não,Sim,2021-08
Empresa 16655,202006,Não,Sim,2020-06
Empresa 16660,202006,Não,Sim,2020-06
Empresa 16679,202107,Não,Sim,2021-07
Empresa 16686,202301,Não,Sim,2023-01
Empresa 16693,202310,Não,Sim,2023-10
Empresa 16700,202012,Não,Sim,2020-12
Empresa 16707,202308,Não,Sim,2023-08
Empresa 16756,202205,Não,Sim,2022-05
Empresa 16760,202101,Não,Sim,2021-01
Empresa 16762,202111,Não,Sim,2021-11
Empresa 16769,202209,Não,Sim,2022-09
Empresa 16802,202202,Não,Sim,2022-02
Empresa 16803,202006,Não,Sim,2020-06
Empresa 16809,202303,Não,Sim,2023-03
Empresa 16816,202012,Não,Sim,2020-12
Empresa 16825,202103,Não,Sim,2021-03
Empresa 16849,202211,Não,Sim,2022-11
Empresa 16851,202104,Não,Sim,2021-04
Empresa 16865,202011,Não,Sim,2020-11
Empresa 16871,202101,Não,Sim,2021-01
Empresa 16873,202205,Não,Sim,2022-05
Empresa 16916,201907,Não,Sim,2019-07
Empresa 16943,202112,Não,Sim,2021-12
Empresa 16977,202106,Não,Sim,2021-06
Empresa 16984,202007,Não,Sim,2020-07
Empresa 16999,202008,Não,Sim,2020-08
Empresa 17026,202103,Não,Sim,2021-03
Empresa 17037,201912,Não,Sim,2019-12
Empresa 17041,202212,Não,Sim,2022-12
Empresa 17044,202007,Não,Sim,2020-07
Empresa 17053,202106,Não,Sim,2021-06
Empresa 17055,202106,Não,Sim,2021-06
Empresa 17077,202012,Não,Sim,2020-12
Empresa 17099,202004,Não,Sim,2020-04
Empresa 1710,202206,Não,Sim,2022-06
Empresa 17101,202011,Não,Sim,2020-11
Empresa 17109,202111,Não,Sim,2021-11
Empresa 17124,202204,Não,Sim,2022-04
Empresa 17139,202012,Não,Sim,2020-12
Empresa 17140,202301,Não,Sim,2023-01
Empresa 17146,202104,Não,Sim,2021-04
Empresa 17149,202205,Não,Sim,2022-05
Empresa 17161,202002,Não,Sim,2020-02
